Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Ly-Ester Down,23/239,2.52E-08,1.72E-07,0,0,4.408927436,77.13394981,ZNF185;FOXE1;HSPA5;ERAP2;IRS1;ATP8B1;MX1;G0S2;VEGFC;PLOD2;SEMA3F;CLU;PBX1;IFI44L;TBX3;MYLK;LOXL2;MECOM;OAS2;STC2;SPOCK1;SLC38A2;IDO1
Anisomycin Up,23/240,2.73E-08,1.86E-07,0,0,4.38838235,76.43160091,KLF10;JUN;SDC4;PLK2;CXCL3;CXCL2;THBS1;TBX3;RELB;FOSL1;CDH6;NFKBIA;IL6;PLAU;DLC1;IRF1;ZC3H12A;BCL3;CCL2;SOX9;VCL;EPHA2;HBEGF
JDTic Up,23/240,2.73E-08,1.86E-07,0,0,4.38838235,76.43160091,CA12;CSF1R;FZD2;RTN1;CFH;IGFBP5;SYT1;ITGB4;LAMA3;LPAR1;NR2F1;PCOLCE;FGF1;CLU;LASP1;DPYD;CYP1B1;COL6A3;SPOCK1;IGFBP6;KCNN4;RIN2;TGM2
Lobelanidine Down,23/240,2.73E-08,1.86E-07,0,0,4.38838235,76.43160091,PCSK1;SLC14A1;VCAM1;SYT1;CITED2;TFPI2;CXCL3;CLU;THBS1;TBX3;LOXL2;GREM1;IL6;AXL;KCNMA1;SCG5;ANO10;COL4A5;COL6A3;SPOCK1;IL6ST;MYL9;STX1A
NE-100 Down,23/240,2.73E-08,1.86E-07,0,0,4.38838235,76.43160091,CA12;NNMT;ZNF185;LAMB3;ATP8B1;MICAL2;G0S2;CXCL1;AMPD3;NR3C1;DKK1;COL3A1;COL1A2;KRT18;DDAH1;PODXL;IRF1;COL5A2;CCL2;SOX9;GBP1;CFB;HBEGF
Clocortolone Up,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,POSTN;VCAM1;GCNT1;HSPB7;AKR1C3;SLC2A1;TNFRSF11B;DKK1;MYLK;RELB;COL3A1;COL1A2;ANPEP;CREB3L1;DLC1;PDGFC;ID1;COL5A2;COL6A3;CDH13;SPOCK1;IGFBP6;PITX1
PF-06465469 Up,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,COLEC12;CD96;GALNT6;FZD2;KRT8;LPAR1;NR2F1;PCOLCE;PTN;MEOX2;DKK1;CLU;DCN;TGFBR2;RELN;KRT18;LOX;STC2;FEZ2;DPYD;COL5A2;IGFBP6;GABRE
K-9944 Up,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,COLEC12;NRP1;CSF1R;HSPA5;SYT1;WNT5A;MX1;AKR1C3;TAP1;LTBP2;CXCL1;PTN;CLU;NID2;TBX3;PSMB9;ANPEP;STC2;COL6A2;SERPINH1;PMAIP1;EMILIN1;IL6ST
Bentazepam Up,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,BCAR3;SMURF2;HSPA5;LAMB3;PLK2;AMIGO2;ISG15;LAMC2;TOR1B;CXCL3;CXCL2;GALNT10;LOXL2;FTSJ3;MT2A;AXL;DLC1;COL4A5;FLNB;ITGA5;MAGEA4;MT1E;MAP4K4
Benfotiamine Down,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,CA12;COLEC12;NRP1;POSTN;GCNT1;LPAR1;MICAL2;G0S2;DKK1;VEGFA;TMEM158;ANPEP;DLC1;CYP1B1;AOX1;COL6A3;CCL2;SOX9;SLC38A2;CFB;EPHA2;HBEGF;TGM2
Gabapentin Down,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,ABCC3;KRT81;RTN1;TPM4;SYT1;ITGB4;TPM2;GCNT1;HSPB7;AKR1C3;AMPD3;CXCL3;ELL2;MYLK;VEGFA;ANPEP;FEZ2;DSE;COL4A6;CYP1B1;COL4A5;SOX9;IGFBP6
Fusidic-Acid Down,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,ABCC3;COLEC12;PCSK1;SERPINB2;NNMT;FOXF1;CITED2;LAMB2;PLK2;TPM2;AMIGO2;HSPB7;SEMA3F;ATP2B1;NR3C1;CXCL3;CXCL2;RELB;TMEM158;TNIP1;AXL;PXDN;QSOX1
CPI-1189 Down,23/241,2.95E-08,2.00E-07,0,0,4.368025751,75.7376503,ABCC3;NRP1;POSTN;IGFBP5;LAMB3;IRS1;TFPI2;MX1;G0S2;TAP1;IFI44L;TBX3;PSMB9;TGFBR2;PLAU;ANPEP;IRF1;COL7A1;COL4A5;GAS6;GBP1;CFB;TGM2
Fenoprofen Up,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,TLE4;ZNF185;IGFBP5;MX1;NR3C1;NID2;PBX1;IFI44L;DCN;COL1A1;THBD;COL3A1;COL1A2;KRT18;CLEC2B;ANPEP;STC2;COL6A2;COL6A1;SCG5;COL4A5;COL6A3;PITX1
Zoledronic-Acid Up,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,TLE4;ABCC3;NRP1;CFH;IRS1;AMIGO2;KRT8;LPAR1;G0S2;NR3C1;POU2F2;DKK1;CLU;CXCL2;THBS1;GALNT10;PLCB3;DLC1;PDGFC;DPYD;DSE;PDLIM5;STX1A
CTPB Up,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,CA12;ABCC3;COLEC12;FZD2;IRS1;PLK2;UBE2E3;ITGA2;LRRC17;TFPI2;IFI44;ISG15;NR2F2;THBS1;IFI44L;THBD;COL3A1;RELN;ARHGDIB;COL5A2;MXRA8;COL4A5;VCL
MI-2 Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,TLE4;COLEC12;POSTN;VCAM1;SYT1;IFI44;MICAL2;ISG15;THBS1;IFI44L;DCN;DKK3;EXT1;COL3A1;COL1A2;CLEC2B;OAS2;DLC1;DPYD;COL5A2;FAT4;FMOD;SLC38A2
Meprylcaine Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,PCSK1;VIPR1;IGFBP5;SYT1;FOXF1;ITGA2;LAMA3;NR2F1;STC1;NR3C1;CLU;CXCL2;TBX3;LOX;ID1;CYP1B1;ITGBL1;SPOCK1;IGFBP6;EPHB2;KCNN4;STX1A;TGM2
Imiquimod Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,ABCC3;EDN1;POSTN;FZD2;NNMT;RTN1;LAMB3;AMIGO2;MICAL2;G0S2;LTBP2;RELB;EXT1;NFKBIA;AXL;DLC1;PXDN;DSE;SCG5;ITGBL1;GAS6;FMOD;MAGEA4
ML-193 Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,GALNT14;VCAM1;CFH;WNT5B;PLK2;AMIGO2;KRT8;TAP1;LTBP2;CLU;ELK3;EXT1;PLCB3;LASP1;FGD6;ANPEP;COL7A1;BCL3;COL4A6;COL4A5;PITX1;EDIL3;TGM2
Lofepramine Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,CA12;SERPINB2;CAB39;FOXF1;PLK2;HEG1;IGFBP3;MBOAT7;MX1;STC1;IFI44;ISG15;CLU;IFI44L;THBD;MT2A;RELN;PDZD2;OAS2;ARHGDIB;BCL3;FLNC;GBP1
L-ascorbyl-6-palmitate Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,CA12;KLF10;COLEC12;CFH;FOXF1;TPM2;AMIGO2;WNT5A;AKR1C3;G0S2;CXCL1;CXCL3;PBX1;VEGFA;COL3A1;COL1A2;CLEC2B;RASA1;COL6A2;COL7A1;COL6A1;SCG5;FLNC
Cevimeline Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,RTN1;NNMT;SYT1;TFPI2;MX1;STC1;TAP1;CXCL1;NMNAT2;SEMA3F;OSMR;RELB;TGFBR2;EXT1;IL6;FGD6;CLEC2B;AXL;PXDN;COL4A5;GAS6;GABRE;EPHA2
SGI-1027 Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,CA12;NNMT;CFH;SYT1;HSPA5;PLK2;TPM2;MEOX2;SERPINB7;NID2;GLG1;ELK3;CDH6;EFEMP2;CLEC2B;PDGFC;ID1;ARHGDIB;SERPINH1;FAT4;ITGA5;GBP1;CFB
CPI-613 Down,23/242,3.19E-08,2.14E-07,0,0,4.347855057,75.05196601,KRT81;NNMT;RTN1;CCDC68;AMIGO2;KRT8;LPAR1;NR3C1;TRHDE;VEGFA;TGFBR2;EXT1;KRT18;TMEM158;CLEC2B;AXL;ANPEP;COL4A5;QSOX1;IGFBP6;GAS6;RIN2;IDO1
Estradiol-Cypionate Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,NRP1;POSTN;CFH;CITED2;UBE2E3;AMIGO2;PLOD2;ISG15;TBX3;LOXL2;COL1A2;TMEM158;PDGFC;ID1;COL6A1;COL6A3;SPDL1;EPHB2;GABRE;RIN2;GBP1;IDO1;SOCS5
NCS-382 Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,CD96;RTN1;NNMT;FOXF1;UBE2E3;TFPI2;SERPINB9;TNFRSF11B;DKK1;CLU;DKK3;PSMB9;CDH6;RELN;KRT18;AXL;DLC1;DPYD;ARHGDIB;NFE2L3;EFHD2;COL4A5;SOX9
Reserpic-Acid Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,NRP1;MCFD2;HS3ST3A1;CFH;HSPA5;PLK2;MX1;IFI44;RRAS2;PLOD2;ISG15;NR2F2;LAMC1;RND3;IFI44L;ELK3;ADAM19;DLC1;PXDN;DPYD;DSE;HBEGF;FBN1
Cefalotin Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,TLE4;FZD2;TPM4;MBOAT7;MX1;SLC2A1;PLOD2;ISG15;NR3C1;IFI44L;ARL4C;LASP1;COL5A1;PXDN;SERPINH1;CYP1B1;SPATS2L;CCL2;FLNB;FLNC;PDLIM5;GBP1;TGM2
Propyl-Gallate Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,ABCC3;PCSK1;KRT81;GALNT6;RTN1;ITGB4;AMIGO2;LAMA3;AKR1C3;PTN;ATP2B1;SULF1;CLU;VEGFA;GREM1;LOX;STC2;ID1;HHIPL2;ANO10;SPOCK1;KCNN4;IDO1
GSK-J4 Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,KANK2;PCSK1;VCAM1;IGFBP3;LRRC17;AMIGO2;LPAR1;NR3C1;GLG1;INHBE;EXT1;TMEM158;COL6A2;IRF1;PDGFC;ID1;DPYD;KCNMA1;COL6A1;COL4A6;COL4A5;GBP1;IDO1
Ripasudil Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,KANK2;IGFBP5;SYT1;FOXG1;MBOAT7;STC1;ISG15;LAMC1;CXCL3;DKK1;CXCL2;TBX3;VEGFA;IL6;TMEM158;DDAH1;ID1;EHBP1L1;ANO10;COL4A5;PPARG;VCL;TGM2
Phenothrin Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,EDN1;TPM4;IGFBP5;TPM2;SERPINE1;WNT5A;KRT8;G0S2;ISG15;IFI44L;GNAI2;EXT1;GREM1;DDAH1;PXDN;ARHGDIB;SCG5;EFHD2;CCL2;FLNB;MYL9;VCL;MT1E
LY-255582 Up,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,KANK2;VCAM1;ZNF185;CFH;TPM4;IGFBP5;IRS1;TPM2;CRIM1;G0S2;AMPD3;NID2;CXCL2;THBS1;DCN;EXT1;GREM1;PDZD2;EHBP1L1;EMILIN1;FLNC;GBP1;VCL
L-803087 Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,VCAM1;SYT1;CITED2;LRRC17;TFPI2;AKR1C3;STC1;G0S2;PCOLCE;TNFRSF11B;CXCL1;NID2;RELB;EXT1;THBD;COL1A2;CLEC2B;BCL3;COL6A1;S1PR1;COL6A3;CFB;IDO1
Tiaprofenic-Acid Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,CA12;ABCC3;NNMT;VCAM1;SYT1;SMAGP;IRS1;TPM2;AMIGO2;TFPI2;SPAG4;LPAR1;NR3C1;EGFR;RELB;EXT1;TMEM158;COL6A2;ID1;EHBP1L1;COL6A1;SCG5;IGFBP6
Piperacillin Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,ABCC3;PTGFR;PCSK1;CSF1R;KRT81;TGFB2;PARM1;SDC4;IRS1;ITGB4;SLC2A1;STC1;MICAL2;ISG15;NMNAT2;DKK1;THBS1;TGFBR2;COL5A1;PODXL;STC2;PXDN;ZYX
Glafenine Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,ABCC3;CITED2;ATP8B1;PLK2;TPM2;AMIGO2;KRT8;MICAL2;TNFRSF11B;PTN;DKK1;NID2;DCN;MYLK;VEGFA;KRT18;TMEM158;IL1B;PDGFC;COL6A1;HHIPL2;COL6A3;RIN2
SA-1973509 Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,COLEC12;EDN1;RTN1;PLK2;WWC2;SERPINB9;IFI44L;FOSL1;ADAM19;TMEM158;PDZD2;MECOM;DPYD;ARHGDIB;CYP1B1;COL4A5;SPOCK1;XAF1;GBP1;IDO1;MT1E;TGM2;CPA4
SA-1463787 Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,CA12;COLEC12;FOXF1;ITGB4;AKR1C3;SLC2A1;PLOD2;TNFRSF11B;ISG15;CLU;NID2;RELB;VEGFA;IL6;CREB3L1;STC2;CDC42EP4;BCL3;COL6A1;FLNC;EPHB2;GABRE;ENG
Empagliflozin Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,POSTN;NNMT;LAMB2;MBOAT7;AMIGO2;IFI44;MICAL2;SERPINB7;NR3C1;ELL2;NID2;CXCL2;EREG;TGFBR2;EXT1;CLEC2B;LOX;DDAH1;AXL;PDGFC;COL5A2;SERPINH1;ITGBL1
SA-1938862 Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,RTN1;LAMB3;TFPI2;MX1;LPAR1;AKR1C3;STC1;IFI44;LAMC2;PTN;SOD3;IFI44L;SERTAD3;MECOM;NME7;DLC1;FEZ2;PDGFC;ID1;COL4A6;CYP1B1;ITGBL1;IDO1
SA-1458571 Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,GALNT6;RTN1;VCAM1;SMURF2;AMIGO2;LPAR1;MICAL2;ATP2B1;SERPINB7;DKK1;RND3;GREM1;RELN;TMEM158;SERPINH1;CYP1B1;ITGBL1;KCNN4;GAS6;SLC15A3;IDO1;MT1E;CPA4
Ciclesonide Down,23/243,3.44E-08,2.29E-07,0,0,4.327867733,74.37441867,TLE4;PCSK1;SERPINB2;PLK2;IGFBP3;WNT5A;CXCL1;AMPD3;NR3C1;PBX1;TBX3;FOSL1;DRAP1;GREM1;TMEM158;SCG5;EFHD2;CCL2;SPOCK1;SOX9;SPDL1;MAGEA4;HBEGF
Quinisocaine Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,COLEC12;NRP1;RTN1;IGFBP5;CITED2;WNT5A;TFPI2;AKR1C3;TNFRSF11B;NR3C1;NID2;IFI44L;TGFBR2;EXT1;RELN;PLAU;COL7A1;PDGFC;SPOCK1;CCL2;QSOX1;GBP1;FBN1
Salicin Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,PDGFRB;LRRC17;LPAR1;MICAL2;G0S2;PCOLCE;LAMC2;NR2F2;NID2;SOD3;PBX1;DCN;TBX3;COL3A1;RELN;KRT18;MECOM;ID1;COL6A1;CYP1B1;ITGBL1;TCF4;ENG
PSB-069 Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,TPM4;CITED2;SMAGP;PLK2;SIAH2;MBOAT7;WNT5A;CRIM1;STC1;SECTM1;ISG15;CLU;IFI44L;CDC42EP4;PDGFC;ID1;DPYD;COL4A5;SOX9;RIN2;SLC38A2;GBP1;IDO1
VU-0402605 Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,GALNT6;TPM4;WNT5B;FOXF1;ATP8B1;TFPI2;G0S2;LAMC2;AMPD3;DKK1;DKK3;EREG;GREM1;IL1A;LASP1;KRT18;TNIP1;AXL;DSE;RIN2;PITX1;SLC38A2;MAP4K4
Atracurium Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,KANK2;PCSK1;NRP1;SLC14A1;IGFBP5;TPM4;IRS1;IGFBP3;AMIGO2;NR2F1;SLC2A1;IFI44;PLOD2;NR3C1;PBX1;IFI44L;VEGFA;EXT1;TNIP1;DPYD;GABRE;GBP1;TGM2
Decamethonium Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,TLE4;COLEC12;VCAM1;IGFBP5;SYT1;LRRC17;MX1;LPAR1;PCOLCE;ISG15;PTN;NID2;TGFBR2;COL3A1;COL1A2;STC2;IRF1;FEZ2;CYP1B1;SPOCK1;PPARG;EMILIN1;IGFBP6
SB-705498 Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,COLEC12;FZD2;ZNF185;SYT1;SMURF2;ERAP2;MBOAT7;TFPI2;SLC2A1;PCOLCE;DKK1;GALNT10;VEGFA;TGFBR2;DDAH1;ANPEP;STC2;CDC42EP4;PDGFC;ID1;CYP1B1;SOX9;VCL
Amygdalin Up,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;EDN1;IL4R;NNMT;RRAS2;LAMC2;RND3;DKK3;RELB;VEGFA;COL1A2;TMEM158;MECOM;DDAH1;PPP1R13L;ANPEP;CDH13;CCL2;PPARG;CFB;MT1E;ENG;TGM2
Diazepam Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,NRP1;NNMT;ZNF185;CAB39;LAMB3;AMIGO2;TFPI2;G0S2;TNFRSF11B;NR3C1;DKK3;PSMB9;EXT1;GREM1;TMEM158;DLC1;DPYD;SCG5;ITGBL1;AOX1;IGFBP6;EPHB2;PDLIM5
Morphothebaine Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,PCSK1;RTN1;VCAM1;IGFBP5;SYT1;HSPA5;FOXF1;PLK2;MX1;PLOD2;CXCL1;ELL2;CLU;VEGFA;INHBE;GREM1;STC2;SCG5;CYP1B1;SPOCK1;SLC38A2;CFB;IDO1
Fexofenadine Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,POSTN;DOCK3;SYT1;PLK2;KRT8;MICAL2;CXCL1;NMNAT2;CXCL3;CXCL2;GLG1;EXT1;GREM1;MT2A;IL6;TMEM158;KRT18;PDZD2;PXDN;SPOCK1;PPARG;GABRE;MT1E
Mepacrine Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;KRT81;POSTN;SERPINB2;VCAM1;WNT5B;LAMB3;ATP8B1;ITGB4;TPM2;WNT5A;LPAR1;AKR1C3;NR3C1;FGF1;VEGFA;NET1;COL1A2;STC2;ID1;SOX9;IGFBP6;FMOD
WAY-161503 Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;SERPINB2;PLK2;MX1;CRIM1;IFI44;PLOD2;ISG15;CXCL2;IFI44L;TNIP1;AXL;OAS2;COL5A2;CDH13;FLNB;GABRE;FMOD;PDLIM5;PITX1;MT1E;IDO1;MAP4K4
Hydroquinine Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,KANK2;CA12;KRT81;POSTN;IGFBP5;TPM2;AMIGO2;AMPD3;SULF1;NID2;GALNT10;MYLK;EREG;VEGFA;COL1A1;RASA1;PDGFC;PXDN;COL5A2;COL6A1;CYP1B1;SOX9;VCL
Phenethyl-Isothiocyanate Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;TLE4;POSTN;IGFBP5;AMIGO2;MX1;G0S2;ISG15;LAMC2;SULF1;IFI44L;EREG;RELB;VEGFA;EXT1;NFKBIA;GREM1;MT2A;PXDN;CA9;XAF1;SLC38A2;GBP1
Miglitol Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;ABCC3;POSTN;LAMB3;CCDC68;PLK2;IGFBP3;AMIGO2;KRT8;AKR1C3;MEOX2;IFI44L;TGFBR2;MYL6;FGD6;KRT18;TNIP1;PDGFC;ID1;DSE;COL4A6;COL4A5;PPARG
Dimercaptosuccinic-Acid Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,EDN1;PLK2;IGFBP3;LRRC17;KRT8;NR2F1;RRAS2;TNFRSF11B;ISG15;CXCL1;NR3C1;CLU;THBS1;TBX3;DKK3;EXT1;RELN;KRT18;STC2;COL7A1;ID1;FLNB;SLC38A2
Bambuterol Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;SERPINB2;NNMT;SYT1;TFPI2;LAMA3;LPAR1;TAP1;PCOLCE;CXCL1;CLU;RND3;CXCL2;RELB;TGFBR2;THBD;MT2A;COL3A1;ANPEP;IGFBP6;ITGA5;CFB;MT1E
Clinafloxacin Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;BCAR3;ABCC3;NNMT;ATP8B1;AMIGO2;TFPI2;KRT8;LPAR1;CXCL1;NR3C1;CXCL3;CXCL2;EXT1;CDH6;KRT18;ANPEP;STC2;PDGFC;PXDN;PPARG;FLNC;MT1E
1-NITRONAPHTHALENE Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,KRT8;G0S2;LTBP2;NR3C1;GALNT10;VEGFA;KRT18;AXL;PLAU;PPP1R13L;STC2;PXDN;DSE;SPOCK1;FLNB;EPHB2;SLC16A2;IL6ST;RIN2;SLC38A2;VCL;EPHA2;MAP4K4
G-Butyrolactone Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CA12;FZD2;LAMB3;SERPINE1;G0S2;SERPINB9;PCOLCE;CXCL1;DKK1;CXCL2;VEGFA;GREM1;IL1A;KRT18;IL1B;CSNK2B;COL5A2;COL6A1;MXRA8;COL4A6;COL4A5;CFB;TGM2
E-7438 Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,NRP1;SLC14A1;KRT81;SERPINB2;ZNF185;TPM4;EPAS1;ITGB4;ARHGEF28;NR2F1;SLC2A1;CLU;THBS1;GLG1;PBX1;PTPRF;VEGFA;FOSL1;CLEC2B;PODXL;COL4A5;COL6A3;SOX9
Gentamycin-Sulfate Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,IGFBP5;ERAP2;STC1;PLOD2;LTBP2;ISG15;AMPD3;PTN;NR3C1;IFI44L;THBD;ESM1;IL6;CLEC2B;STC2;QSOX1;CA9;GABRE;CFB;IDO1;HBEGF;MAP4K4;TGM2
SA-1460136 Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,COLEC12;CITED2;PLK2;WNT5A;KRT8;LPAR1;SLC2A1;CXCL1;LOXL2;GREM1;TMEM158;PDZD2;LOX;COL5A1;PLAU;RAB23;COL7A1;SCG5;FLNB;GABRE;GBP1;STX1A;FBN1
SA-85377 Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,CSF1;CITED2;BDNF;PLK2;CRIM1;STC1;PTN;OSMR;CLU;RND3;EREG;LOXL2;ARL4D;PLCB3;TMEM158;CLEC2B;STC2;IRF1;DPYD;SOX9;EPHA2;IDO1;CPA4
SA-1459213 Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,ITGB1;NRP1;KRT81;RTN1;NNMT;IGFBP5;PLK2;TFPI2;STC1;VEGFC;DKK1;NID2;VEGFA;LOXL2;GREM1;LOX;BCL3;ZYX;SCG5;SPOCK1;IGFBP6;STX1A;HBEGF
SA-424233 Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,POSTN;NNMT;ZNF185;IGFBP5;SYT1;FOXG1;AKR1C3;IFI44;MICAL2;RRAS2;SULF1;CNN2;KLF7;LASP1;PDGFC;ID1;DPYD;MXRA8;CYP1B1;ITGBL1;SPOCK1;EPHB2;MT1E
LY-2874455 Down,23/244,3.71E-08,2.43E-07,0,0,4.30806129,73.70488147,NRP1;FZD2;TPM4;LRRC17;WNT5A;MX1;IFI44;MICAL2;ISG15;DKK1;THBS1;IFI44L;EREG;FOSL1;ADAM19;ING2;DLC1;ARHGDIB;DSE;CYP1B1;XAF1;RIN2;HBEGF
Aripiprazole Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,POSTN;LAMB3;NR2F1;MICAL2;SERPINB9;LTBP2;SULF1;NID2;PBX1;TBX3;TGFBR2;TMEM158;CLEC2B;PLAU;RASA1;COL6A2;PXDN;COL6A1;MXRA8;EFHD2;SPOCK1;KCNN4;FBN1
Flufenamic-Acid Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,CA12;NNMT;RTN1;VCAM1;IGFBP5;CITED2;PLK2;SIAH2;GCNT1;HSPB7;SLC2A1;PLOD2;TNFRSF11B;NR3C1;EREG;VEGFA;AXL;ID1;SPOCK1;EPHB2;GABRE;CFB;IDO1
Hyoscyamine Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,CFH;IGFBP5;MX1;IFI44;ISG15;NR3C1;DKK1;THBS1;IFI44L;TBX3;ELK3;COL3A1;PDZD2;CLEC2B;PLAU;PODXL;OAS2;ANPEP;COL6A2;ARHGDIB;CCL2;EMILIN1;XAF1
Monastrol Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,BCAR3;CD96;KRT81;JUN;FZD2;EPAS1;FOXG1;PLK2;WNT5A;AKR1C3;NR3C1;DKK1;FGF2;DKK3;TGFBR2;FOSL1;GREM2;ESM1;ANPEP;ID1;CYP1B1;FAT4;EPHA2
Picrotoxin Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,EDN1;RTN1;IGFBP5;FOXF1;MX1;G0S2;ISG15;NR2F2;DKK1;IFI44L;CDH6;PDZD2;MECOM;AXL;OAS2;CDC42EP4;ARHGDIB;ZYX;SOX9;PDLIM5;FJX1;VCL;TGM2
Pivmecillinam Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,CA12;TLE4;POSTN;ZNF185;FOXE1;BDNF;SIAH2;IGFBP3;MICAL2;RRAS2;SERPINB9;NID2;EGFR;EXT1;CDH6;COL1A2;PODXL;COL6A2;COL5A2;COL6A1;COL4A6;CA9;FMOD
BMY-45778 Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,LAMB3;AKR1C3;SLC2A1;STC1;MICAL2;PLOD2;CXCL3;VEGFA;CDH6;THBD;IL6;KRT18;LOX;TNIP1;SERPINH1;PMAIP1;SPOCK1;IGFBP6;EPHB2;CFB;IDO1;EPHA2;TGM2
PF-3845 Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,CA12;KLF10;SLC14A1;JUN;IL4R;SDC4;SMURF2;AMIGO2;SLC2A1;G0S2;EREG;PSMB9;FOSL1;NET1;TMEM158;PLAU;ANPEP;RASA1;SCG5;EFHD2;CCL2;FLNB;STX1A
Enzalutamide Up,23/245,4.01E-08,2.54E-07,0,0,4.288433283,73.04323009,KANK2;NRP1;GALNT14;SERPINB2;RTN1;CXCL1;PTN;CXCL3;CXCL2;PBX1;EREG;TMEM158;ANPEP;RASA1;PDGFC;DPYD;COL4A6;EFHD2;SPATS2L;COL4A5;CCL2;IDO1;SOCS5
