Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Indoramin Down,10/248,5.43E-04,0.004321971,0,0,3.800186741,28.57413639,SEMA5A;COL17A1;SRGN;SPINK1;HSD17B2;MMP3;CASP1;SLAMF7;ARHGAP29;SFN
MK-2206 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,MLPH;FAP;BIK;BASP1;PLAU;VEGFC;ARHGAP29;AOX1;RIN2;FSTL1
PF-02545920 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;GABRP;CALB1;MME;ANXA3;BASP1;SLCO1B3;TSPAN1;RAG1;LTF
AZ-10417808 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SRGN;CDA;GABRP;KRT81;TAGLN;CALB1;PDGFC;SLCO1B3;SPP1;KRT7
Zolmitriptan Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;WWC1;ARHGDIB;LPAR1;ARHGAP29;ANXA10;MSLN;RIN2;TSPAN1;TGM2
Mesoridazine Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,FAP;NAV3;BASP1;KCNE4;HSD17B2;LPAR1;KRT7;PRR5L;SOX9;RIN2
Flupentixol Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,KRT81;SPINK1;GDF15;BIK;PDGFC;CYP4F3;MMP3;SPP1;SPINT2;NUPR1
Gemfibrozil Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;GABRP;ESM1;GLIPR1;TAGLN;POSTN;ARHGDIB;KRT7;MMP9;LTF
ATPA Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,CDA;SULT1C2;SPINK1;MLPH;BASP1;ARHGAP29;RIN2;FSTL1;MMP9;MAPK13
Ciclopirox Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;COL17A1;CDA;GLIPR1;MME;SERPINE1;SLCO1B3;SCG5;SPINT2;EGFR
Dimethylnitrosamine Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,IL32;GABRP;KRT81;NAV3;CITED2;KRT7;ARHGAP29;TOX;RIN2;LTF
Acronycine Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,IL32;CDA;GABRP;ANXA3;PLAU;ARHGDIB;KRT7;EPS8L2;TSPAN1;LTF
DAC-004 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,NAV3;BIK;PDGFC;ACSL5;LCP1;KMO;MMP9;LOXL1;SSX1;LTF
BAM-7 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;TAGLN;POSTN;FAP;HSD17B2;MMP3;PLXNA2;SOX9;FLNC;MMP9
Shikonin Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SRGN;CDA;POSTN;MLPH;ANXA3;GABRA5;BIK;PPARGC1A;MMP9;TTN
BMS-509744 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SRGN;CDA;SULT1C2;SPINK1;NAV3;LPAR1;SPP1;ACSL5;ANXA10;FSTL1
Carbendazim Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SEMA5A;RAB3B;NAV3;PDGFC;ARHGDIB;ACSL5;ARHGAP29;FLNC;FSTL1;LOXL1
N-benzylnaltrindole Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;SPINK1;MLPH;BASP1;PLAU;BDNF;SPP1;MSLN;RIN2;TGM2
Voapaxar Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,GABRP;MLPH;MME;BASP1;CYP4F3;SPP1;KRT7;SOX9;TSPAN1;TGM2
BIBN-4096 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,ANXA3;BASP1;PLAU;MMP3;KRT7;SPINT2;KMO;MMP9;TGM2;LTF
BML-210 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,MLPH;MME;GDF15;BASP1;SPINT2;SOX9;NUPR1;FSTL1;MMP9;LOXL1
Glucosamine Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,GABRP;POSTN;PCLO;CITED2;BIK;KCNE4;ARHGDIB;KRT7;MAPK13;SUGCT
Bromopride Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SULT1C2;SPINK1;MLPH;SERPINE1;HSD17B2;ACSL5;KRT7;SOX9;TOX;LOXL1
AV-608 Up,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,CDA;NUAK1;GLIPR1;MLPH;GRB14;WWC1;SCG5;KMO;TGM2;SSX1
PD-0325901 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;MLPH;NAV3;GDF15;PLAU;HSD17B2;LPAR1;ANXA10;SOX9;MMP9
ZM-241385 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;GABRP;NUAK1;TAGLN;POSTN;PLXNA2;KRT7;ARHGAP29;SFN;EPS8L2
CGP-53353 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;SRGN;KRT81;GLIPR1;NAV3;BASP1;CYP11A1;SPP1;KMO;RIN2
MNITMT Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,KRT81;POSTN;BIK;BASP1;SOX9;NUPR1;MSLN;MMP9;TGM2;LTF
JAS07-010 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SRGN;MLPH;BIK;SLCO1B3;KRT7;SOX9;TOX;TGM2;LTF;TTN
VU-0415012 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,IL32;SRGN;CALB1;MME;GRB14;BASP1;TIE1;EPS8L2;TGM2;LTF
VU-0415108-1 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;GLIPR1;TAGLN;POSTN;MME;FAP;GRB14;KCNE4;SPP1;LTF
IOX-1 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,IL32;POSTN;GRB14;ANXA3;WWC1;KRT7;EPS8L2;ADRB2;TOX;TTN
Idebenone Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,GLIPR1;PCLO;GDF15;BIK;MMP3;PKP2;PLXNA2;NUPR1;ADRB2;MMP9
PD-184352 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,RGS4;SRGN;MLPH;NAV3;GDF15;PLAU;BDNF;VEGFC;SOX9;MMP9
Dimenhydrinate Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,CALB1;MLPH;FAP;PDGFC;HSD17B2;SPP1;ANXA10;NUPR1;MSLN;TTN
Urosiol Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,IL32;SRGN;GLIPR1;TAGLN;POSTN;SPINK1;BASP1;SCG5;KRT7;FSTL1
SA-1459234 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,KRT81;GLIPR1;FAP;CITED2;BIK;PLAU;MMP3;PKP2;AOX1;NUPR1
WAY-362450 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SEMA5A;KRT81;PLAU;SPP1;KRT7;SOX9;NUPR1;MSLN;TSPAN1;TGM2
BAY-61-3606 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SRGN;CDA;GLIPR1;NAV3;CITED2;ANXA3;PDGFC;FSTL1;MMP9;LTF
CC-401 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,SRGN;MME;FAP;GDF15;MMP3;SPP1;ACSL5;KRT7;SFN;SOX9
URB-597 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,POSTN;CITED2;BDNF;LPAR1;PLXNA2;ARHGAP29;AOX1;SOX9;MSLN;FSTL1
UNC-0642 Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,IL32;SRGN;PDGFC;IL18;CASP1;S1PR1;SLAMF7;SERPINB7;MSLN;OASL
Efatutazone Down,10/249,5.60E-04,0.004325092,0,0,3.78409267,28.33487974,MLPH;GDF15;BIK;CREB3L1;SPP1;SPINT2;NUPR1;ADRB2;TSPAN1;TGM2
FR-122047 Up,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,GABRP;GDF15;PLAU;KRT7;ARHGAP29;SOX9;NUPR1;MSLN;RIN2;TSPAN1
Tegafur Up,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,GABRP;TAGLN;POSTN;SPINK1;FAP;ANXA3;ACSL5;TSPAN1;LTF;MAPK13
SA-419083 Up,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,RGS4;GLIPR1;BIK;PDGFC;ARHGDIB;ARHGAP29;RIN2;FSTL1;TGM2;MAPK13
SA-1472542 Up,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,IL32;SULT1C2;TAGLN;POSTN;BIK;PLAU;SLCO1B3;SFN;SOX9;NUPR1
L-701252 Down,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,NUAK1;TAGLN;SPINK1;MLPH;FAP;SUSD4;EPS8L2;SPINT2;LCP1;TGM2
Metaxalone Down,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,SRGN;ANXA3;BASP1;PDGFC;KRT7;AOX1;SOX9;MSLN;RIN2;TGM2
Droperidol Down,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,EDN1;GDF15;HSD17B2;MMP3;SCG5;CASP1;S1PR1;FLNC;KMO;TTN
Clodronic-Acid Down,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,IL32;KRT81;TGFB2;CALB1;PDGFC;LPAR1;PLXNA2;KRT7;SOX9;TGM2
SA-427730 Down,10/250,5.77E-04,0.00443307,0,0,3.768132716,28.09825671,GABRP;KRT81;GLIPR1;POSTN;GABRA5;KRT7;DOCK2;TSPAN1;LTF;TTN
Erlotinib Up,9/231,0.001297854,0.009955748,0,0,3.65275875,24.28004508,SEMA5A;GABRP;POSTN;SPINK1;CALB1;KCNE4;CYP4F3;NUPR1;TOX
SRT-3657 Up,9/232,0.001337264,0.010250775,0,0,3.63619268,24.06115795,RGS4;TAGLN;POSTN;GDF15;SERPINE1;SLCO1B3;MMP3;SPP1;NUPR1
Sorafenib Up,9/234,0.001418979,0.01069139,0,0,3.603502304,23.63111004,POSTN;MLPH;ANXA3;GDF15;SLCO1B3;PLXNA2;KRT7;NUPR1;EGFR
R-112 Up,9/234,0.001418979,0.01069139,0,0,3.603502304,23.63111004,RGS4;SRGN;TAGLN;MLPH;GDF15;BASP1;SPP1;SLAMF7;NUPR1
SA-1457305 Down,9/234,0.001418979,0.01069139,0,0,3.603502304,23.63111004,CDA;CITED2;ANXA3;GDF15;TIE1;HSD17B2;DYSF;SLAMF7;OASL
BIX-02188 Up,9/236,0.001504669,0.01069139,0,0,3.57138797,23.2111007,TAGLN;POSTN;SPINK1;MLPH;ANXA3;HSD17B2;SLAMF7;SPINT2;NUPR1
Narciclasine Up,9/237,0.001549048,0.01069139,0,0,3.555542081,23.00476466,EDN1;TGFB2;ANXA3;PLAU;KRT7;ARHGAP29;SOX9;ADRB2;KMO
SA-425500 Up,9/237,0.001549048,0.01069139,0,0,3.555542081,23.00476466,SULT1C2;MLPH;MME;ANXA3;GDF15;KCNE4;AOX1;NUPR1;LTF
PD-173074 Up,9/237,0.001549048,0.01069139,0,0,3.555542081,23.00476466,CALB1;MLPH;MME;ANXA3;GDF15;CREB3L1;PDGFC;NUPR1;MSLN
PD-198306 Up,9/238,0.001594473,0.01069139,0,0,3.539834584,22.80082474,SULT1C2;SPINK1;MME;GDF15;BASP1;PDGFC;CYP4F3;SPP1;NUPR1
DM-55-3 Up,9/238,0.001594473,0.01069139,0,0,3.539834584,22.80082474,IL32;SULT1C2;PDGFC;NUPR1;LCP1;MMP9;SSX1;LTF;TTN
Docetaxel Up,9/238,0.001594473,0.01069139,0,0,3.539834584,22.80082474,CDA;GABRP;KRT81;GLIPR1;ANXA3;WWC1;EPS8L2;SOX9;MMP9
SAL-003 Up,9/238,0.001594473,0.01069139,0,0,3.539834584,22.80082474,KRT81;GDF15;PLAU;KCNE4;MMP3;LPAR1;SCG5;NUPR1;LTF
Tanaproget Up,9/238,0.001594473,0.01069139,0,0,3.539834584,22.80082474,SEMA5A;RGS4;POSTN;GDF15;BASP1;SCG5;PKP2;CASP1;NUPR1
Danirixin Down,9/238,0.001594473,0.01069139,0,0,3.539834584,22.80082474,GABRP;KRT81;POSTN;FAP;KCNE4;PDGFC;SPP1;ARHGAP29;TGM2
Paclitaxel Up,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,GABRP;GLIPR1;MLPH;GRB14;ANXA3;BIK;WWC1;PDGFC;LTF
Deforolimus Up,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,SEMA5A;GABRP;EDN1;POSTN;MLPH;FAP;PLAU;RIN2;FSTL1
Epothilone-B Up,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,CDA;GLIPR1;ANXA3;BIK;BASP1;FSTL1;MMP9;SSX1;LTF
Filanesib Up,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,NUAK1;GLIPR1;POSTN;MLPH;BIK;PDGFC;ANXA10;MMP9;LTF
Pemetrexed Down,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,GABRP;PCLO;MLPH;MME;ANXA3;GDF15;NUPR1;MMP9;TTN
GR-235 Down,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,CDA;GRB14;CITED2;ANXA3;BIK;PLAU;ARHGDIB;KRT7;TGM2
PF-04457845 Down,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,POSTN;SPINK1;CITED2;SPP1;KRT7;SPINT2;SOX9;MMP9;TGM2
Ly-Ester Down,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,RGS4;SRGN;SULT1C2;BASP1;TIE1;VEGFC;ADRB2;FSTL1;MMP9
949 Down,9/239,0.001640962,0.01069139,0,0,3.524263675,22.59924458,EDN1;TAGLN;POSTN;ANXA3;GDF15;ARHGAP29;AOX1;LOXL1;TGM2
HMN-214 Up,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,CDA;GLIPR1;ANXA3;BIK;BASP1;PDGFC;SLCO1B3;MMP3;EPS8L2
KUC105208 Up,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,CDA;POSTN;SPINK1;CALB1;CITED2;SPP1;KRT7;EPS8L2;NUPR1
SU-1498 Up,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,RGS4;MLPH;ANXA3;GDF15;BASP1;CREB3L1;ANXA10;NUPR1;MMP9
Xanthohumol Up,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,RGS4;IL1RL1;GLIPR1;MLPH;CREB3L1;SERPINE1;MMP3;SCG5;ANXA10
LY-2603618 Up,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,IL32;CDA;CITED2;ANXA3;GDF15;BASP1;PLAU;SCG5;KRT7
GR-103691 Down,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,SEMA5A;SRGN;GLIPR1;SPINK1;CALB1;HSD17B2;KRT7;KMO;OASL
Ritonavir Down,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,RGS4;KRT81;NUAK1;GRB14;CITED2;GDF15;PKP2;ARHGAP29;NUPR1
Bacitracin Down,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,POSTN;FAP;BASP1;KCNE4;CREB3L1;PDGFC;LPAR1;SCG5;NUPR1
Vinyl-Acetate Down,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,MLPH;BIK;PLAU;TIE1;ACSL5;AOX1;MMP9;TGM2;MAPK13
Budipine Down,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,SPINK1;GRB14;CITED2;GDF15;MMP3;IL18;AOX1;NUPR1;LTF
Tolimidone Down,9/240,0.001688532,0.01069139,0,0,3.508827578,22.39998856,IL1RL1;POSTN;MME;CREB3L1;PDGFC;MMP3;LPAR1;ADRB2;TOX
Farnesylthioacetic-Acid Up,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,SEMA5A;RGS4;SULT1C2;GLIPR1;LPAR1;SCG5;KRT7;FSTL1;LOXL1
CAY-10585 Up,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,RGS4;IL1RL1;MLPH;MME;NAV3;SFN;FLNC;TOX;LTF
TRIM Up,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,RGS4;TAGLN;GRB14;NAV3;LPAR1;SPP1;SFN;MMP9;LTF
Ixabepilone Up,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,GLIPR1;POSTN;GRB14;ANXA3;BIK;WWC1;PDGFC;FSTL1;MMP9
GSK-1838705A Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,RGS4;SPINK1;NAV3;GDF15;CREB3L1;LPAR1;CASP1;ARHGAP29;SFN
GR-113808 Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,RGS4;SRGN;GLIPR1;SPINK1;KRT7;VEGFC;ANXA10;SPINT2;NUPR1
TL-HRAS-61 Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,GABRP;ANXA3;PKP2;CASP1;KRT7;ARHGAP29;TSPAN1;TGM2;LTF
ST-4070169 Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,IL32;GRB14;SCG5;KRT7;SLAMF7;ARHGAP29;SPINT2;KMO;RIN2
EMF-sumo1-1 Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,POSTN;GRB14;NAV3;CITED2;ARHGDIB;SPINT2;NUPR1;TGM2;LTF
Clemizole Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,RGS4;TAGLN;NAV3;CITED2;GDF15;PKP2;NUPR1;LTF;TTN
Carbon-Tetrachloride Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,GABRP;GRB14;GDF15;BASP1;DYSF;SOX9;NUPR1;MSLN;MMP9
Methyl-Carbamate Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,CDA;TAGLN;MLPH;ANXA3;PDGFC;VEGFC;MMP9;LTF;MAPK13
Broxuridine Down,9/241,0.001737203,0.01069139,0,0,3.493524551,22.2030217,CDA;PCLO;ANXA3;KRT7;SOX9;ADRB2;MSLN;TGM2;LTF
Nocodazole Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,CDA;GLIPR1;ANXA3;BIK;WWC1;PDGFC;SLAMF7;SOX9;FLNC
Mifepristone Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,GLIPR1;ANXA3;GDF15;MMP3;SPINT2;SOX9;RIN2;MMP9;TTN
KU-C104227 Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SULT1C2;GABRP;MLPH;ANXA3;SERPINE1;SCG5;CASP1;SPINT2;SOX9
Tenofovir Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL32;BASP1;PDGFC;ARHGDIB;NLRP3;SOX9;ADRB2;RIN2;LTF
Androsterone Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL32;SRGN;GABRP;PDGFC;ARHGDIB;SLCO1B3;DYSF;MSLN;FSTL1
Alisertib Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,CDA;GABRP;KRT81;CITED2;BASP1;PDGFC;KRT7;EPS8L2;SSX1
Mitomycin Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,RGS4;SULT1C2;CITED2;SERPINE1;ARHGAP29;SFN;ADRB2;MSLN;TSPAN1
Butyrylcholine-Cl Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SULT1C2;MLPH;MME;HSD17B2;SLCO1B3;IL18;SCG5;SOX9;OASL
Alvimopan Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SEMA5A;SRGN;POSTN;CALB1;ARHGDIB;SCG5;ARHGAP29;FLNC;MSLN
RKI-1447 Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SRGN;GLIPR1;CITED2;BASP1;KRT7;VEGFC;ARHGAP29;AOX1;LOXL1
MK-3207 Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,FAP;PLAU;KCNE4;PDGFC;ARHGDIB;LPAR1;KRT7;KMO;MMP9
SA-419010 Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,RGS4;SRGN;ANXA3;BASP1;ARHGDIB;SCG5;SLAMF7;KMO;MMP9
SA-1921902 Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,GABRP;ESM1;POSTN;FAP;GRB14;PDGFC;NUPR1;KMO;LTF
Rhein Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,RGS4;NUAK1;TAGLN;POSTN;SPINK1;FAP;HSD17B2;SFN;TOX
Palovarotene Up,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,RGS4;SRGN;GLIPR1;ANXA3;GDF15;SPP1;KRT7;ANXA10;LTF
Valproic-Acid Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SULT1C2;GABRP;EDN1;MLPH;GDF15;CYP11A1;NUPR1;KMO;TTN
Indinavir Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SEMA5A;EDN1;SPINK1;MLPH;BIK;BASP1;PLAU;EPS8L2;NUPR1
Verapamil Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL32;GABRP;POSTN;MLPH;CITED2;SERPINE1;SFN;MSLN;TTN
Naltriben Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL32;MLPH;BASP1;EPS8L2;NUPR1;TSPAN1;TGM2;LTF;TTN
PSB-06126 Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,RAB3B;SRGN;FAP;PLAU;KRT7;TSPAN1;FSTL1;MISP;TGM2
JAS07-001 Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL32;RGS4;TAGLN;PLAU;CREB3L1;KRT7;EPS8L2;LCP1;TTN
ML-193 Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL32;GRB14;BASP1;KRT7;SLAMF7;EPS8L2;ADRB2;MMP9;TGM2
Roxatidine Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,GABRP;TAGLN;HSD17B2;KRT7;SLAMF7;ANXA10;EPS8L2;SPINT2;NUPR1
BAS-02859604 Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL1RL1;SPINK1;MME;ANXA3;GDF15;SPINT2;MSLN;RIN2;TSPAN1
Teicoplanin Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SRGN;GABRP;CITED2;BASP1;ACSL5;EGFR;SSX1;LTF;TTN
EI-273 Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SPINK1;ANXA3;HSD17B2;SPP1;ARHGAP29;AOX1;ANXA10;SPINT2;TGM2
JNJ-38877605 Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,IL32;TAGLN;FAP;PDGFC;HSD17B2;SCG5;PLXNA2;NUPR1;TTN
Entacapone Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SRGN;GABRP;KRT81;ANXA3;BIK;TIE1;SUSD4;KRT7;MSLN
Moroxydine Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,KRT81;ESM1;CITED2;BIK;SPP1;SCG5;SOX9;NUPR1;MSLN
Sulfathiazole Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,CDA;GABRP;KRT81;MLPH;GDF15;CYP4F3;KRT7;SOX9;MMP9
Allopurinol Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SPINK1;MME;BIK;PLAU;SERPINE1;KRT7;VEGFC;EPS8L2;SPINT2
Laropiprant Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SULT1C2;GABRP;POSTN;ANXA3;BIK;BASP1;SPP1;ADRB2;TSPAN1
Dabigatran Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,RGS4;SULT1C2;CALB1;GDF15;KCNE4;MMP3;SFN;SOX9;NUPR1
Phenserine Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,NUAK1;SPINK1;CALB1;CITED2;ANXA3;BIK;PKP2;KRT7;ANXA10
620 7033 4251 Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,RAB3B;MLPH;CITED2;BIK;BDNF;WWC1;KRT7;EPS8L2;TSPAN1
Bavisant Down,9/242,0.001786992,0.01069139,0,0,3.478352881,22.00830969,SRGN;SULT1C2;GDF15;BASP1;PDGFC;SPP1;NUPR1;TGM2;LTF
Meticrane Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,GABRP;SPINK1;MLPH;GRB14;GDF15;ANXA10;KMO;TTN;MAPK13
Arvanil Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SRGN;SULT1C2;ESM1;POSTN;MLPH;NAV3;CITED2;CREB3L1;SCG5
Docosatrienoic-Acid Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SRGN;GABRP;GLIPR1;BDNF;PDGFC;SOX9;NUPR1;RAG1;LTF
Tramadol Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SRGN;GABRP;NAV3;LPAR1;PLXNA2;KRT7;ARHGAP29;AOX1;MSLN
5-Guanidinonaltrindole Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,IL32;GLIPR1;BIK;HSD17B2;KRT7;ANXA10;SOX9;KMO;SSX1
Auranofin Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SRGN;CDA;GLIPR1;MLPH;GDF15;CYP4F3;SLCO1B3;SCG5;TGM2
Cladribine Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SULT1C2;MLPH;GDF15;PLAU;IL18;ARHGAP29;ANXA10;SPINT2;NUPR1
Kanamycin Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SRGN;IL1RL1;ANXA3;BASP1;BDNF;PDGFC;MSLN;MISP;TTN
Cefalotin Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SRGN;ANXA3;BASP1;FLNC;LCP1;FSTL1;TGM2;LTF;TTN
Propyl-Gallate Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SEMA5A;KRT81;MLPH;BASP1;SPP1;ACSL5;KRT7;NUPR1;TOX
Deltorphin-Ii Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,IL32;SRGN;FAP;HSD17B2;ARHGDIB;IL18;SFN;KMO;SSX1
K1448 Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SRGN;POSTN;BASP1;SERPINE1;KRT7;ARHGAP29;NUPR1;ADRB2;TGM2
WZ-3105 Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,GLIPR1;TAGLN;GRB14;ARHGDIB;SFN;SPINT2;FSTL1;MMP9;LTF
KW-2449 Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,ANXA3;BASP1;PDGFC;KRT7;ARHGAP29;EPS8L2;SPINT2;SOX9;NUPR1
Drospirenone Up,9/243,0.001837917,0.01069139,0,0,3.463310883,21.81581888,SULT1C2;PCLO;GDF15;PLAU;SPP1;SOX9;ADRB2;MMP9;RAG1
