Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Trihexyphenidyl Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,GGT5;POSTN;ALCAM;CALB1;MME;ANXA3;ARHGDIB;C5AR1;SLCO1B3;RAC2;KRT7;LTF
Trichlormethiazide Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CA12;IL32;CPA3;SPINK1;GDF15;KCNE4;P3H2;LPAR1;SERPINB7;IL7R;FSTL1;DCLK1
Aminocaproic-Acid Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,POSTN;SPINK1;CITED2;STC2;EPB41L3;HSD17B2;P3H2;LY96;SOX9;NUPR1;CXCL14;DCLK1
2-CHLOROACETOPHENONE Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CA12;IL32;RGS4;EVI2A;ANXA3;CDH11;DIO2;ARHGAP29;ANXA10;SOX9;AREG;CXCL14
Triphenyl-Phosphate Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,RGS4;CPA3;SRGN;SPINK1;MME;NAV3;STC2;ARHGDIB;LPAR1;THSD7A;ITM2A;F3
OVE-208 Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,RGS4;PTPRD;GLIPR1;EDN1;SNAPC1;SCG5;TNFAIP3;AOX1;ITM2A;AREG;F3;LGR5
Tasquinimod Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,IL32;CPA3;PCLO;MME;NAV3;CITED2;GDF15;P3H2;KRT7;ARHGAP29;NUPR1;DCLK1
Harmane Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CPA3;SRGN;TRIM29;MAGEB2;IL18;PKP2;TNFAIP3;SFN;SPINT2;SOX9;CXCL14;MAPK13
Camostat-Mesilate Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CPA3;SRGN;THBD;CALB1;STC2;ARHGDIB;ARHGAP29;SOX9;ITM2A;AREG;CXCL14;LTF
Isosalsoline Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,RGS4;GLIPR1;NAV3;CITED2;GDF15;TFEC;P3H2;NAV2;IL7R;AREG;CXCL14;MAPK13
NSC-625987 Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CA12;CDH6;POSTN;MME;TRIM29;IL1B;KRT7;SFN;SOX9;FSTL1;CXCL14;LTF
3-Fluorobenzylspiperone Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,RGS4;GLIPR1;EDN1;POSTN;TRIM29;KCND3;ANXA3;CAV1;SERPINE1;KRT7;SFN;KCNK1
WB-4101 Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,RGS4;SRGN;KRT81;GLIPR1;POSTN;CAV1;ARHGDIB;P3H2;SCG5;ARHGAP29;FSTL1;CXCL14
Carmustine Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,IL32;SRGN;THBD;CITED2;GDF15;P3H2;KRT7;ARHGAP29;SPINT2;LGR5;CXCL14;DCLK1
TMP-269 Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CPA3;PTPRD;ANXA3;BASP1;STC2;SLCO1B3;LPAR1;SPINT2;SOX9;CYP4F11;FSTL1;LGR5
JW-74 Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,RGS4;KRT81;IL6;ALCAM;PCLO;NAV3;TRIM29;BASP1;PLAU;P3H2;KCNK1;CXCL14
Castanospermine Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CDA;CITED2;ANXA3;STC2;CAV1;CDH11;P3H2;RAC2;SCG5;ARHGAP29;AOX1;AREG
Moxidectin Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CPA3;PTPRD;SRGN;KRT81;MYO10;BASP1;MAGEB2;IL18;KRT7;SOX9;DCLK1;LTF
Indoramin Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,SEMA5A;SRGN;RELN;SPINK1;TRIM29;HSD17B2;MMP3;SLAMF7;ARHGAP29;SFN;AREG;CXCL14
3-Deazaadenosine Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,IL32;PTPRD;THBD;KRT81;EVI2A;CITED2;GDF15;PLAU;IL18;LY96;DCLK1;FBXL7
ANR-94 Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CA12;SRGN;POSTN;CYP24A1;ANXA3;GDF15;TNFAIP3;NR0B1;SPINT2;F3;CXCL14;LTF
Mesopram Down,12/248,3.88E-04,0.003936774,0,0,3.436440678,26.99245302,CPA3;SRGN;KRT81;GLIPR1;SPINK1;MME;CAV1;MMP3;SERPINB7;IL7R;AREG;LTF
Entinostat Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,IL32;KRT81;GLIPR1;IL6;ALCAM;MYO10;GDF15;BASP1;CAV1;KRT7;AREG;FSTL1
ZK-93426 Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CA12;SRGN;KRT81;RELN;SPINK1;STC2;HSD17B2;AREG;MISP;CXCL14;DCLK1;MAPK13
Thiothixene Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,IL32;TRIM29;ANXA3;GDF15;BASP1;CDH11;TNFAIP3;SFN;SPINT2;NUPR1;F3;LTF
Deoxyandirobin Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CPA3;ANXA3;BASP1;STC2;C5AR1;LPAR1;SOX9;IL7R;ITM2A;F3;LTF;MAPK13
Brompheniramine Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CA12;SRGN;SPINK1;FAP;BASP1;CDH11;PKP2;TFCP2L1;NUPR1;NAV2;LGR5;CXCL14
KU-C104488 Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CA12;RGS4;CPA3;SRGN;POSTN;CYP24A1;KRT7;ANXA10;NAV2;CXCL14;LTF;MAPK13
BX-912 Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CA12;IL32;RGS4;SRGN;GLIPR1;POSTN;GDF15;TNFAIP3;SOX9;IL7R;AREG;LTF
Acitretin Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,SRGN;GLIPR1;POSTN;CITED2;IL1B;WWC1;ARHGDIB;RAC2;KRT7;TNFAIP3;IL7R;F3
SD-6-035-A12 Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CA12;THBD;POSTN;SPINK1;FAP;TRIM29;HSD17B2;ARHGDIB;ANXA10;NAV2;CXCL14;LTF
Acronycine Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,IL32;CDA;ALCAM;ANXA3;PLAU;IL1B;ARHGDIB;KRT7;KCNK1;AREG;FOSL2;LTF
SA-1459830 Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,SRGN;PCLO;SPINK1;MME;GDF15;HSD17B2;ARHGDIB;ARHGAP29;IL7R;F3;CXCL14;LTF
Hyperin Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CDA;ALCAM;ANXA3;KCNE4;SERPINE1;MMP3;DIO2;ARHGAP29;NRG1;SOX9;THSD7A;LGR5
BML-210 Up,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,ALCAM;MME;GDF15;BASP1;SPINT2;SOX9;NUPR1;AREG;FSTL1;LGR5;CXCL14;LOXL1
Moexipril Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CA12;IL32;MME;TRIM29;BASP1;KCNE4;HSD17B2;LY96;NUPR1;LCP1;ITM2A;HBEGF
Arachidonamide Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CPA3;KRT81;IL6;SPINK1;FAP;STC2;KRT7;TNFAIP3;NR0B1;IL7R;ITM2A;AREG
Phenazopyridine Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,IL32;SRGN;KRT81;GLIPR1;STC2;SERPINE1;P3H2;TNFAIP3;PRR5L;LCP1;IL7R;LGR5
Ambroxol Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,IL32;CPA3;SPINK1;TRIM29;ANXA3;KRT7;SLAMF7;SFN;SPINT2;ITM2A;AREG;FOSL2
VU-0405166-2 Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,SRGN;EDN1;POSTN;BASP1;KCNE4;HSD17B2;SCG5;LY96;ARHGAP29;ANXA10;F3;LTF
EMF-sumo1-6 Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,IL32;CPA3;IL6;SPINK1;GDF15;C5AR1;NUPR1;ITM2A;F3;LGR5;FOSL2;LTF
Methazolamide Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,RELN;SPINK1;MME;TRIM29;STC2;MMP3;LPAR1;AREG;F3;CXCL14;HBEGF;MAPK13
Oxolinic-Acid Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,SEMA5A;PTPRD;POSTN;FAP;TRIM29;CDH11;LPAR1;SCG5;KRT7;SOX9;CXCL14;LTF
Benserazide Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,SEMA5A;CDH6;KRT81;IL6;ARL14;BASP1;PLAU;SLCO1B3;SCG5;KRT7;FBXL7;FOSL2
Urosiol Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,IL32;PTPRD;SRGN;GLIPR1;POSTN;SPINK1;BASP1;SCG5;KRT7;IL7R;FSTL1;CXCL14
Mecamylamine Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CA12;IL32;RGS4;CPA3;TRIM29;KCND3;ARHGDIB;IL18;ARHGAP29;SFN;F3;CXCL14
Methylhydrazine-Sulfate Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,SRGN;POSTN;IL6;TBC1D2;RELN;SPINK1;GDF15;IL1B;SERPINE1;SFN;CXCL14;HBEGF
CNX-774 Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,SRGN;ALCAM;ANXA3;ARHGDIB;P3H2;RAC2;KRT7;ARHGAP29;TNFAIP3;AREG;FOSL2;LTF
Bigsaas Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,RGS4;KRT81;POSTN;MME;FAP;TRIM29;GDF15;DIO2;SFN;ANXA10;SPINT2;CXCL14
Trandolapril Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,THBD;KRT81;GLIPR1;ALCAM;ANXA3;PLAU;STC2;KRT7;NUPR1;AREG;F3;LTF
Benzotript Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CDA;CALB1;STC2;MMP3;SCG5;SPINT2;NAV2;DUSP8;DCLK1;SH3GL2;FOSL2;LTF
Sirtinol Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,RGS4;GLIPR1;NAV3;BASP1;PAGE1;MAGEB2;LPAR1;NAV2;LCP1;IL7R;CXCL14;FOSL2
Pemirolast Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,RAB3B;RGS4;SRGN;EDN1;ALCAM;P3H2;IL18;LY96;SPINT2;NUPR1;F3;FOSL2
SB-271046 Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,GLIPR1;ALCAM;SPINK1;CALB1;IL18;SLAMF7;ARHGAP29;PRR5L;THSD7A;AREG;F3;CXCL14
Phenylacetylglutamine Down,12/249,4.02E-04,0.003959352,0,0,3.42176512,26.75338663,CPA3;PCLO;SPINK1;MME;GDF15;CAV1;HSD17B2;ARHGAP29;AREG;F3;CXCL14;DCLK1
Tetramethyl-Haematoxylone Up,12/250,4.17E-04,0.004078437,0,0,3.407212885,26.51702818,CA12;SRGN;KRT81;POSTN;SPINK1;LPAR1;RAC2;TFCP2L1;NAV2;AREG;CXCL14;MAPK13
Progesterone Up,12/250,4.17E-04,0.004078437,0,0,3.407212885,26.51702818,CITED2;ANXA3;IL1B;CAV1;ARHGDIB;CDH11;PKP2;KRT7;ARHGAP29;IL7R;AREG;F3
FK-888 Down,12/250,4.17E-04,0.004078437,0,0,3.407212885,26.51702818,SRGN;THBD;KRT81;GLIPR1;ALCAM;EVI2A;TFEC;RAC2;LY96;TNFAIP3;LCP1;AREG
NNC-63-0532 Down,12/250,4.17E-04,0.004078437,0,0,3.407212885,26.51702818,IL32;CA12;CDA;GLIPR1;POSTN;ANXA3;RAC2;IL7R;AREG;FSTL1;CXCL14;LTF
Clodronic-Acid Down,12/250,4.17E-04,0.004078437,0,0,3.407212885,26.51702818,CA12;IL32;PTPRD;KRT81;TGFB2;CALB1;STC2;LPAR1;KRT7;SOX9;NAV2;FBXL7
Ellagic-Acid Down,12/250,4.17E-04,0.004078437,0,0,3.407212885,26.51702818,SRGN;THBD;ALCAM;EVI2A;CITED2;C5AR1;S1PR1;LY96;NUPR1;IL7R;AREG;FOSL2
Umeclidinium Down,12/250,4.17E-04,0.004078437,0,0,3.407212885,26.51702818,SRGN;ALCAM;SPINK1;MME;TRIM29;GDF15;STC2;HSD17B2;RAC2;PKP2;FSTL1;CXCL14
tyrphostin-A9 Up,11/234,8.54E-04,0.008319455,0,0,3.324390585,23.4905619,KRT81;GDF15;STC2;SERPINE1;TNFAIP3;SOX9;NUPR1;AREG;F3;HBEGF;PAPPA2
Tetracycline Up,11/234,8.54E-04,0.008319455,0,0,3.324390585,23.4905619,CALB1;GDF15;STC2;SLCO1B3;SCG5;KRT7;LY96;NUPR1;NAV2;F3;CXCL14
RAF-265 Up,11/234,8.54E-04,0.008319455,0,0,3.324390585,23.4905619,SEMA5A;POSTN;CALB1;EVI2A;MME;GDF15;STC2;LPAR1;SLAMF7;LY96;NUPR1
COL-3 Up,11/234,8.54E-04,0.008319455,0,0,3.324390585,23.4905619,CA12;KRT81;GRB14;GDF15;PLAU;STC2;SERPINE1;SCG5;SPINT2;NUPR1;AREG
Malonoben Up,11/235,8.84E-04,0.008606446,0,0,3.309379634,23.26927875,IL6;EVI2A;GDF15;STC2;IL24;LY96;SOX9;NUPR1;NAV2;AREG;HBEGF
SA-425500 Up,11/237,9.47E-04,0.008928794,0,0,3.279756254,22.83465026,IL6;MME;ANXA3;GDF15;KCNE4;STC2;LY96;AOX1;NUPR1;LGR5;LTF
SA-1973507 Up,11/237,9.47E-04,0.008928794,0,0,3.279756254,22.83465026,CA12;EVI2A;GRB14;GDF15;BASP1;STC2;SCG5;NUPR1;IL7R;AREG;LGR5
O-Anisidinehcl Down,11/237,9.47E-04,0.008928794,0,0,3.279756254,22.83465026,CALB1;GRB14;ANXA3;STC2;IL1B;SOX9;NUPR1;KCNK1;AREG;F3;HBEGF
GNE-477 Down,11/237,9.47E-04,0.008928794,0,0,3.279756254,22.83465026,IL32;RGS4;GLIPR1;IL6;KCNE4;STC2;IL1B;DIO2;KRT7;SFN;FOSL2
Docetaxel Up,11/238,9.80E-04,0.008928794,0,0,3.265140314,22.62122307,CDA;KRT81;GLIPR1;ALCAM;SNAPC1;ANXA3;WWC1;CAV1;P3H2;SOX9;F3
Lacidipine Up,11/238,9.80E-04,0.008928794,0,0,3.265140314,22.62122307,RGS4;CDH6;PTPRD;SRGN;IL6;SPINK1;STC2;CDH11;P3H2;KRT7;NUPR1
Fluticasone Down,11/238,9.80E-04,0.008928794,0,0,3.265140314,22.62122307,CPA3;FAP;NAV3;MYO10;GDF15;BASP1;PLAU;SLAMF7;LY96;SOX9;FBXL7
EHNA Down,11/238,9.80E-04,0.008928794,0,0,3.265140314,22.62122307,RAB3B;RGS4;RELN;MME;KCND3;GDF15;STC2;ARHGAP29;AOX1;SPINT2;DCLK1
Pantoprazole Down,11/239,0.001013746,0.008928794,0,0,3.250652583,22.41033401,KRT81;FAP;GRB14;NAV3;TRIM29;CITED2;WWC1;EPB41L3;CDH11;NUPR1;DCLK1
Tazobactam Down,11/239,0.001013746,0.008928794,0,0,3.250652583,22.41033401,SRGN;THBD;GLIPR1;ALCAM;ARL14;CITED2;P3H2;LY96;TNFAIP3;AOX1;F3
PF-04457845 Down,11/239,0.001013746,0.008928794,0,0,3.250652583,22.41033401,CPA3;POSTN;SPINK1;CITED2;KRT7;TNFAIP3;SPINT2;SOX9;IL7R;AREG;F3
KUC105208 Up,11/240,0.001048595,0.008928794,0,0,3.236291383,22.20194413,CPA3;CDA;POSTN;SPINK1;CALB1;EVI2A;CITED2;TFEC;KRT7;NUPR1;CXCL14
Xanthohumol Up,11/240,0.001048595,0.008928794,0,0,3.236291383,22.20194413,RGS4;GLIPR1;ALCAM;STC2;SERPINE1;MMP3;SCG5;LY96;NR0B1;ANXA10;IL7R
Amuvatinib Up,11/240,0.001048595,0.008928794,0,0,3.236291383,22.20194413,RGS4;CDH6;IL6;NAV3;ANXA3;GDF15;STC2;ITM2A;AREG;CXCL14;LTF
Lomerizine Down,11/240,0.001048595,0.008928794,0,0,3.236291383,22.20194413,CA12;IL32;POSTN;CITED2;CAV1;P3H2;IL18;KRT7;ARHGAP29;SFN;NUPR1
GR-103691 Down,11/240,0.001048595,0.008928794,0,0,3.236291383,22.20194413,SEMA5A;SRGN;GLIPR1;SPINK1;CALB1;EVI2A;HSD17B2;P3H2;KRT7;NAV2;CXCL14
PF-04217903 Down,11/240,0.001048595,0.008928794,0,0,3.236291383,22.20194413,CPA3;SPINK1;STC2;HSD17B2;SLAMF7;ARHGAP29;ANXA10;NUPR1;IL7R;AREG;CXCL14
NU-7441 Down,11/240,0.001048595,0.008928794,0,0,3.236291383,22.20194413,CDA;KRT81;GLIPR1;POSTN;P3H2;KRT7;NUPR1;LCP1;ITM2A;AREG;MAPK13
WR-216174 Up,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,CA12;MME;BASP1;KCNE4;STC2;P3H2;LPAR1;RAC2;SPINT2;NUPR1;MAPK13
Ubenimex Up,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,KRT81;PCLO;CYP24A1;GRB14;SNAPC1;ANXA3;BDNF;TIE1;TNFAIP3;LCP1;ITM2A
KM-03949SC Up,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,RGS4;THBD;IL6;SPINK1;GDF15;STC2;SERPINE1;NAV2;AREG;CXCL14;HBEGF
KUC111774N Up,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,THBD;TRIM29;GDF15;STC2;SLCO1B3;SCG5;KRT7;NUPR1;AREG;F3;FOSL2
Alprostadil Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,RAB3B;RGS4;ALCAM;PLAU;CAV1;SLCO1B3;SCG5;KRT7;KRT34;TMEM40;ARHGAP29
Thiorphan Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,IL32;ALCAM;ANXA3;GDF15;BASP1;C5AR1;LY96;LCP1;SERPINB7;FSTL1;LTF
EMF-sumo1-1 Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,THBD;POSTN;ARL14;GRB14;NAV3;CITED2;ARHGDIB;P3H2;SPINT2;NUPR1;LTF
SD-6-035-A12 Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,CDH6;KRT81;RELN;GDF15;BDNF;MAGEB2;IL18;ARHGAP29;NR0B1;ITM2A;LGR5
Emedastine Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,CPA3;KRT81;ALCAM;GDF15;STC2;MAGEB2;IL18;KRT7;SFN;SPINT2;NUPR1
Methylstat Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,CA12;THBD;MME;KCNE4;ARHGDIB;ARHGAP29;AOX1;AREG;F3;LGR5;MAPK13
NVP-BHG712 Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,GGT5;SRGN;SPINK1;GDF15;BDNF;MMP3;SFN;ITM2A;AREG;LGR5;CXCL14
Crenolanib Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,RGS4;SRGN;CDA;POSTN;EVI2A;ANXA3;ARHGDIB;SOX9;LGR5;HBEGF;LTF
Dazoxiben Down,11/241,0.001084427,0.008928794,0,0,3.222055062,21.9960152,IL32;RGS4;RELN;CITED2;C5AR1;SCG5;LY96;NR0B1;ITM2A;MYOM2;LTF
SKF-96365 Up,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,CA12;CDA;TRIM29;BASP1;CAV1;TIE1;SFN;SOX9;AREG;FSTL1;HBEGF
KU-C104227 Up,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,CA12;TRIM29;ANXA3;STC2;SERPINE1;SCG5;SPINT2;SOX9;NAV2;KCNK1;AREG
HU-211 Up,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,POSTN;IL6;MME;FAP;GDF15;PLAU;IL1B;AREG;F3;CXCL14;LTF
Androsterone Up,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,IL32;CPA3;SRGN;STC2;CAV1;ARHGDIB;SLCO1B3;NAV2;ITM2A;FSTL1;CXCL14
SA-1939938 Up,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,CA12;CDH6;CPA3;EVI2A;MME;BASP1;KRT7;SLAMF7;SOX9;FSTL1;LTF
Salmeterol Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,IL32;KRT81;GLIPR1;EDN1;TGFB2;ALCAM;SERPINE1;P3H2;ARHGAP29;F3;FSTL1
Carbofuran Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,IL32;CDA;THBD;SPINK1;TRIM29;ANXA3;KCND3;BASP1;NUPR1;ITM2A;LTF
Gliquidone Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,IL32;ANXA3;PLAU;CAV1;TIE1;S1PR1;KRT7;LY96;AOX1;LCP1;AREG
Nomegestrol-Acetate Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,THBD;ESM1;POSTN;SPINK1;ANXA3;GDF15;ANXA10;SPINT2;NUPR1;CXCL14;DCLK1
Icilin Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,THBD;GLIPR1;ALCAM;GDF15;BASP1;CAV1;TIE1;ARHGDIB;KRT7;SPINT2;LGR5
Tetramisole Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,FAP;EPB41L3;C5AR1;MMP3;KRT7;SOX9;IL7R;ITM2A;FSTL1;CXCL14;DCLK1
Tomelukast Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,CA12;RGS4;THBD;POSTN;C5AR1;SCG5;TNFAIP3;AREG;FOSL2;HBEGF;MAPK13
Batimastat Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,RGS4;CPA3;THBD;EVI2A;ANXA3;CAV1;C5AR1;ARHGAP29;AREG;F3;HBEGF
Dolasetron Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,CDH6;TGFB2;CALB1;CITED2;KCNE4;STC2;C5AR1;RAC2;KRT7;CXCL14;HBEGF
KIN001-242 Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,IL32;CA12;CITED2;ANXA3;GDF15;MAGEB2;IL18;NUPR1;SERPINB7;F3;LTF
EI-273 Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,THBD;SPINK1;ANXA3;CAV1;HSD17B2;ARHGAP29;AOX1;ANXA10;SPINT2;IL7R;AREG
Moroxydine Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,KRT81;ESM1;SCARA3;CITED2;CAV1;SCG5;TNFAIP3;SOX9;THSD7A;NUPR1;AREG
Cyclizine Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,RGS4;CPA3;ALCAM;SPINK1;EVI2A;GDF15;RAC2;LY96;AREG;F3;FOSL2
Hexetidine Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,THBD;EDN1;TGFB2;ALCAM;MME;ANXA3;C5AR1;MMP3;PKP2;PRR5L;HBEGF
Dimethadione Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,RGS4;SRGN;FAP;CITED2;PLAU;CAV1;TIE1;C5AR1;NUPR1;F3;HBEGF
Atrasentan Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,SRGN;ALCAM;EVI2A;ANXA3;CAV1;SLAMF7;NR0B1;SOX9;ITM2A;F3;LTF
TUL Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,NAV3;GDF15;BASP1;IL1B;CAV1;EPB41L3;C5AR1;P3H2;LY96;NUPR1;NAV2
JW-55 Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,IL6;NAV3;ANXA3;GDF15;BASP1;BDNF;STC2;CAV1;P3H2;AOX1;AREG
SA-90153 Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,IL32;CDH6;GLIPR1;MME;NAV3;KCNE4;ARHGAP29;AOX1;FSTL1;LGR5;DCLK1
SA-1922796 Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,RGS4;CITED2;BASP1;STC2;CAV1;P3H2;LPAR1;ARHGAP29;AREG;SH3GL2;LTF
CPI-613 Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,KRT81;EVI2A;GRB14;GDF15;TFEC;LPAR1;KRT7;SLAMF7;ARHGAP29;IL7R;FSTL1
Bavisant Down,11/242,0.001121263,0.008928794,0,0,3.207942,21.79250975,CPA3;SRGN;ALCAM;EVI2A;GDF15;BASP1;P3H2;LY96;NUPR1;IL7R;LTF
CGS-15943 Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,CDA;EVI2A;FAP;NAV3;KCNE4;STC2;MMP3;NR0B1;ANXA10;F3;DCLK1
Arvanil Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,CA12;SRGN;ESM1;POSTN;EVI2A;NAV3;CITED2;STC2;TFEC;SCG5;LY96
Mebendazole Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,CDA;KRT81;GLIPR1;ANXA3;PLAU;CAV1;SLCO1B3;P3H2;SOX9;IL7R;F3
Docosatrienoic-Acid Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,SRGN;GLIPR1;EVI2A;KCND3;BDNF;RAC2;SOX9;NUPR1;ITM2A;FBXL7;LTF
Tremorine Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,EVI2A;FAP;ANXA3;BASP1;ARHGDIB;C5AR1;LPAR1;ARHGAP29;IL7R;CXCL14;LTF
Oxcarbazepine Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,CPA3;SRGN;POSTN;ALCAM;CALB1;FAP;NAV3;P3H2;KRT7;LCP1;LTF
Razoxane Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,CDA;KRT81;GLIPR1;ALCAM;BASP1;CAV1;EPB41L3;ARHGDIB;C5AR1;IL18;SOX9
SD-6-035-B1 Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,MME;KCNE4;STC2;SLCO1B3;SPINT2;NUPR1;LCP1;F3;LGR5;DCLK1;LTF
Iopromide Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,CA12;SEMA5A;CDH6;FAP;CITED2;TNFAIP3;NUPR1;KCNK1;AREG;F3;LTF
Zearalenone Up,11/243,0.001159126,0.008928794,0,0,3.193950603,21.59139101,IL32;SRGN;GDF15;PLAU;ARHGDIB;KRT7;SFN;SOX9;LCP1;DOCK2;LTF
